kata_awal,kata_stemming,kata_dasar_terdeteksi
buku,buku,buk
digital,digital,digit
kecenderungan,cenderung,cenderung
dianalisis,analisis,ali
pendekatan,pendekat,dek
teoritik,teoritik,itik
hermeneutika,hermeneutika,tik
psikologi,psikologi,kol
kognitif,kognitif,kognitif
membahas,membahas,bah
interaksi,interaksi,aksi
fisik,fisik,fisi
objek,objek,objek
bacaan,baca,baca
meningkatkan,meningkat,meni
pemahaman,pemaham,ham
retensi,retensi,ret
informasi,informasi,asi
studi,studi,studi
mizrachi,mizrach,mi
salaz,salaz,ala
2019,2019,2019
membaca,membaca,baca
buku,buku,buk
cetak,cetak,cetak
efektif,efektif,efek
pembelajaran,pembelajar,aja
akademik,akademik,adem
memudahkan,mudah,dah
penandaan,penanda,anda
konsentrasi,konsentrasi,asi
e,e,e
book,book,book
cocok,cocok,cocok
bacaan,baca,baca
ringan,ringan,inga
medium,medium,medium
membaca,membaca,baca
aksesibilitas,aksesibilitas,akses
kualitas,kualitas,ali
pengalaman,pengalam,ala
efektivitas,efektivitas,efek
kognitif,kognitif,kognitif
literasi,literas,era
indonesia,indonesia,don
terjebak,terjebak,bak
pusaran,pusar,pus
rendahnya,rendah,dah
minat,minat,ina
baca,baca,baca
indonesia,indonesia,don
pasar,pasar,asa
buku,buku,buk
digital,digital,digit
tumbuh,tumbuh,tum
minat,minat,ina
buku,buku,buk
cetak,cetak,cetak
bertahan,bertah,bertah
kalangan,kalang,ala
akademisi,akademisi,adem
pecinta,cinta,cinta
sastra,sastra,astra
studi,studi,studi
perpustakaan,perpustaka,per
nasional,nasional,asi
2023,2023,2023
menemukan,menemu,mu
72,72,72
mahasiswa,mahasiswa,asi
mudah,mudah,dah
berkonsentrasi,berkonsentras,berko
membaca,membaca,baca
buku,buku,buk
fisik,fisik,fisi
ironisnya,ironis,ironi
tingkat,tingkat,tin
literasi,literas,era
indonesia,indonesia,don
rendah,rendah,dah
berdasarkan,berdasar,asa
survei,survei,survei
pisa,pisa,isa
2022,2022,2022
indonesia,indonesia,don
peringkat,peringkat,ering
62,62,62
79,79,79
negara,negara,ara
kemampuan,mampu,ampu
membaca,membaca,baca
data,data,data
unesco,unesco,es
institute,institute,institut
for,for,for
statistics,statistics,ati
uis,uis,uis
indonesia,indonesia,don
menempati,menempat,empat
peringkat,peringkat,ering
100,100,100
208,208,208
negara,negara,ara
tingkat,tingkat,tin
literasi,literas,era
95,95,95
44,44,44
kalah,kalah,ala
negara,negara,ara
negara,negara,ara
tetangga,tetangga,angga
asia,asia,asi
tenggara,tenggara,ara
filipina,filipina,ili
brunei,brune,brune
singapura,singapura,apu
rendahnya,rendah,dah
literasi,literas,era
disebabkan,sebab,bab
faktor,faktor,aktor
utama,utama,ama
kurangnya,kurang,kur
minat,minat,ina
membaca,membaca,baca
keterbatasan,keterbatas,atas
sarana,sarana,ana
prasarana,prasarana,ana
peran,peran,era
keluarga,keluarga,elu
minim,minim,ini
mendukung,mendukung,duk
aktivitas,aktivitas,aktivitas
membaca,membaca,baca
pengaruh,pengaruh,aru
negatif,negatif,ati
televisi,televisi,isi
ponsel,ponsel,ons
pintar,pintar,pin
menarik,menarik,ari
perhatian,perhati,ati
anak,anak,ana
anak,anak,ana
remaja,remaja,aja
dibandingkan,banding,ban
buku,buku,buk
penelitian,peneliti,pen
rendahnya,rendah,dah
literasi,literas,era
indonesia,indonesia,don
bersifat,bersifat,sif
multidimensi,multidimensi,dim
akses,akses,akses
buku,buku,buk
timpang,timpang,pan
daerah,daerah,daerah
pedesaan,desa,desa
kesulitan,sulit,suli
memperoleh,memperoleh,emper
bahan,bahan,bah
bacaan,baca,baca
berkualitas,berkualitas,ali
kemdikbud,kemdikbud,dik
2023,2023,2023
budaya,budaya,budaya
lisan,lisan,isa
dominan,dominan,dom
tradisi,tradisi,adi
baca,baca,baca
mengakar,mengakar,akar
nugroho,nugroho,roh
2021,2021,2021
teori,teori,teori
social,social,social
practice,practice,practice
approach,approach,pro
street,street,street
1984,1984,1984
literasi,literas,era
kemampuan,mampu,ampu
teknis,teknis,teknis
praktik,praktik,praktik
sosial,sosial,sia
dipengaruhi,pengaruh,aru
lingkungan,lingkung,kung
indonesia,indonesia,don
minimnya,minim,ini
perpustakaan,perpustaka,per
ramah,ramah,ama
anak,anak,ana
mahalnya,mahal,hal
harga,harga,harga
buku,buku,buk
memperparah,memperparah,ara
kondisi,kondisi,isi
pendekatan,pendekat,dek
teoritis,teoritis,rit
kajian,kaji,aji
literasi,literas,era
indonesia,indonesia,don
diangkat,angkat,angka
jurnal,jurnal,jurnal
jurnal,jurnal,jurnal
ilmiah,ilmiah,ilmiah
nasional,nasional,asi
menekankan,menekan,enek
ekosistem,ekosistem,ekosistem
literasi,literas,era
meliputi,liput,lipu
keluarga,keluarga,elu
sekolah,sekolah,kol
masyarakat,masyarakat,ara
teori,teori,teori
ekologi,ekologi,ekologi
bronfenbrenner,bronfenbrenner,bren
diadaptasi,diadaptas,ada
konteks,konteks,eks
literasi,literas,era
menyoroti,menyorot,menyorot
interaksi,interaksi,aksi
individu,individu,idu
lingkungan,lingkung,kung
mikro,mikro,mi
keluarga,keluarga,elu
sekolah,sekolah,kol
menentukan,menentu,menentu
minat,minat,ina
kemampuan,mampu,ampu
membaca,membaca,baca
program,program,gram
program,program,gram
merdeka,merdeka,dek
belajar,belajar,aja
mengintegrasikan,mengintegrasi,asi
teknologi,teknologi,log
digital,digital,digit
pendidikan,pendidi,pen
diimbangi,imbang,ban
penguatan,penguat,gua
budaya,budaya,budaya
literasi,literas,era
berbasis,berbasis,asi
buku,buku,buk
fisik,fisik,fisi
kehilangan,hilang,hilang
esensi,esensi,es
pembelajaran,pembelajar,aja
mendalam,mendalam,ala
kabar,kabar,aba
kegemaran,gemar,gema
membaca,membaca,baca
indonesia,indonesia,don
tren,tren,tren
positif,positif,pos
indeks,indeks,dek
pembangunan,pembangun,ban
literasi,literas,era
masyarakat,masyarakat,ara
iplm,iplm,iplm
tingkat,tingkat,tin
gemar,gemar,gema
membaca,membaca,baca
tgm,tgm,tgm
mengalami,mengalam,ala
peningkatan,peningkat,ning
2024,2024,2024
kategori,kategori,ego
hasil,hasil,asi
kerja,kerja,kerja
keras,keras,era
perpustakaan,perpustaka,per
nasional,nasional,asi
pemerintah,pemerin,meri
daerah,daerah,daerah
berupaya,berupaya,beru
memperluas,memperluas,emper
akses,akses,akses
buku,buku,buk
meningkatkan,meningkat,meni
kualitas,kualitas,ali
pendidikan,pendidi,pen
literasi,literas,era
buku,buku,buk
sedunia,dunia,dunia
seremoni,seremoni,rem
pengingat,pengingat,gin
buku,buku,buk
fisik,fisik,fisi
digital,digital,digit
jendela,jendela,ela
dunia,dunia,dunia
lekang,lekang,ekang
derasnya,deras,dera
arus,arus,aru
digital,digital,digit
buku,buku,buk
fisik,fisik,fisi
kemunduran,mundur,dur
renungan,renung,nun
hakikat,hakikat,aki
membaca,membaca,baca
menyentuh,menyentuh,yen
hati,hati,ati
pikiran,pikir,kir
utuh,utuh,utuh
indonesia,indonesia,don
tantangannya,tantang,anta
membalik,membalik,ali
halaman,halaman,ala
sejarah,sejarah,ara
literasi,literas,era
cerah,cerah,cerah
buku,buku,buk
berperan,berper,per
jembatan,jembatan,bata
pengetahuan,pengetahu,eta
peradaban,peradab,ada
perubahan,rubah,bah
iklim,iklim,iklim
bencana,bencana,ana
alam,alam,ala
barangkali,barangkali,ali
membuatmu,membuat,bua
cemas,cemas,cema
takut,takut,aku
khawatir,khawatir,ati
perasaan,rasa,asa
muncul,muncul,mu
wajar,wajar,aja
menandakan,menanda,anda
memiliki,milik,ili
kepedulian,peduli,duli
lingkungan,lingkung,kung
level,level,level
stres,stres,es
pesimis,pesimis,es
depanmu,depan,depa
bumi,bumi,bum
tandanya,tanda,anda
mengalami,mengalam,ala
eco,eco,eco
anxiety,anxiety,anxiety
cemas,cemas,cema
situasi,situasi,asi
lingkungan,lingkung,kung
menerus,menerus,eru
berdampak,berdampak,dam
buruk,buruk,bur
kesehatan,sehat,seh
studi,studi,studi
gejala,gejala,ala
eco,eco,eco
anxiety,anxiety,anxiety
berdaya,berdaya,daya
frustasi,frustas,tas
perasaan,rasa,asa
putus,putus,putu
asa,asa,asa
keresahan,resah,es
memicu,memicu,mem
serangan,serang,era
panik,panik,ani
panic,panic,ani
attack,attack,attack
gangguan,ganggu,gang
konsentrasi,konsentrasi,asi
gangguan,ganggu,gang
tidur,tidur,dur
studi,studi,studi
menyebut,menyebut,menyebut
gen,gen,gen
z,z,z
kelompok,kelompok,elo
mengalami,mengalam,ala
eco,eco,eco
anxiety,anxiety,anxiety
studi,studi,studi
menyebut,menyebut,menyebut
peningkatan,peningkat,ning
kecemasan,cemas,cema
anak,anak,ana
muda,muda,mu
terkait,terkait,kait
krisis,krisis,isi
iklim,iklim,iklim
memengaruhi,memengaruh,aru
kesehatan,sehat,seh
mental,mental,mental
eco,eco,eco
anxiety,anxiety,anxiety
berlarut,berlarut,aru
larut,larut,aru
lakukan,laku,aku
mengalihkan,mengalih,ali
energimu,energi,energi
pengembangan,pengembang,ban
kontrol,kontrol,kontrol
keterlibatan,keterlibat,eter
sosial,sosial,sia
aksi,aksi,aksi
lingkungan,lingkung,kung
langkah,langkah,angka
langkah,langkah,angka
ambil,ambil,ambi
1,1,1
batasi,batas,atas
paparan,papar,apa
informasi,informasi,asi
negatif,negatif,ati
salah,salah,ala
penyebab,penyebab,bab
eco,eco,eco
anxiety,anxiety,anxiety
mengonsumsi,mengonsums,ons
berita,berita,beri
berisi,beris,beri
kabar,kabar,aba
buruk,buruk,bur
pesimistis,pesimistis,es
mengimbangi,mengimbang,ban
konten,konten,konte
konten,konten,konte
ikuti,ikut,ikut
media,media,dia
sosial,sosial,sia
mengikuti,mengikut,ikut
akun,akun,aku
akun,akun,aku
membahas,membahas,bah
permasalahan,permasalah,ala
lingkungan,lingkung,kung
mengikuti,mengikut,ikut
akun,akun,aku
akun,akun,aku
berisi,beris,beri
konten,konten,konte
positif,positif,pos
aksi,aksi,aksi
aksi,aksi,aksi
lingkungan,lingkung,kung
cemas,cemas,cema
muncul,muncul,mu
mengendalikan,mengendali,ali
situasi,situasi,asi
buruk,buruk,bur
mengikuti,mengikut,ikut
akun,akun,aku
akun,akun,aku
menawarkan,menawar,awa
solusi,solusi,lus
lingkungan,lingkung,kung
optimisme,optimisme,mi
muncul,muncul,mu
bukti,bukti,buk
diubah,ubah,bah
aksi,aksi,aksi
nyata,nyata,nyata
2,2,2
bergabung,bergabung,abu
komunitas,komunitas,kom
cari,cari,ari
komunitas,komunitas,kom
organisasi,organisasi,ani
fokus,fokus,fokus
pelestarian,lestari,ari
lingkungan,lingkung,kung
bergabung,bergabung,abu
komunitas,komunitas,kom
memiliki,milik,ili
tujuan,tuju,tuju
concern,concern,once
dukungan,dukung,duk
emosional,emosional,emosi
memperkuat,memperkuat,emper
keterhubungan,keterhubung,bun
3,3,3
terlibat,terlibat,iba
aksi,aksi,aksi
lingkungan,lingkung,kung
langkah,langkah,angka
lakukan,laku,aku
berpartisipasi,berpartisipas,arti
aksi,aksi,aksi
lingkungan,lingkung,kung
skala,skala,ala
studi,studi,studi
membuktikan,membukti,buk
partisipasi,partisipasi,arti
membangun,membangun,ban
keyakinan,yakin,aki
kelompok,kelompok,elo
mengatasi,mengatas,atas
krisis,krisis,isi
lingkungan,lingkung,kung
self,self,sel
and,and,and
community,community,mu
efficacy,efficacy,efficacy
level,level,level
sederhana,sederhana,ana
clicktivism,clicktivism,clicktivism
mendukung,mendukung,duk
aksi,aksi,aksi
lingkungan,lingkung,kung
daring,daring,ari
aktif,aktif,aktif
mengunggah,mengunggah,gah
konten,konten,konte
konten,konten,konte
pro,pro,pro
lingkungan,lingkung,kung
level,level,level
luas,luas,luas
aktif,aktif,aktif
aksi,aksi,aksi
eco,eco,eco
volunteering,volunteering,ering
edukasi,edukasi,asi
masyarakat,masyarakat,ara
terdampak,terdampak,dam
bencana,bencana,ana
bergabung,bergabung,abu
aktivis,aktivis,aktivis
konservasi,konservasi,asi
indonesia,indonesia,don
masyarakat,masyarakat,ara
generasi,generasi,asi
muda,muda,mu
memiliki,milik,ili
perhatian,perhati,ati
isu,isu,isu
lingkungan,lingkung,kung
menyuarakannya,menyuara,ara
temukan,temu,mu
studi,studi,studi
tim,tim,tim
bendungan,bendung,bendu
katulampa,katulampa,katul
kota,kota,kota
bogor,bogor,bogor
bendungan,bendung,bendu
salah,salah,ala
hulu,hulu,hulu
sungai,sungai,gai
ciliwung,ciliwung,cili
kerap,kerap,era
dituding,tuding,din
pengirim,pengirim,gir
banjir,banjir,anjir
jakarta,jakarta,akar
menemui,menemu,mu
kelompok,kelompok,elo
muda,muda,mu
usulan,usul,usul
terlibat,terlibat,iba
mengatasi,mengatas,atas
air,air,air
mengurangi,mengurang,rang
risiko,risiko,isi
banjir,banjir,anjir
menyampaikannya,menyampai,ampai
menjembatani,menjembatan,bata
komunikasi,komunikasi,asi
pemerintah,pemerin,meri
forum,forum,forum
salah,salah,ala
satunya,satu,sat
wali,wali,ali
kota,kota,kota
bogor,bogor,bogor
bima,bima,bima
arya,arya,arya
hasil,hasil,asi
diskusi,diskusi,diskus
tercetus,tercetus,cetus
rekomendasi,rekomendasi,asi
pemberdayaan,pemberdaya,daya
masyarakat,masyarakat,ara
pelatihan,latih,ati
pengelolaan,pengelola,elo
air,air,air
teknik,teknik,nik
mencegah,mencegah,cegah
pencemaran,pencemar,cema
menjaga,menjaga,aga
kelestarian,lestari,ari
sumber,sumber,sum
air,air,air
mendorong,mendorong,dor
penerapan,penerap,era
sistem,sistem,sis
pemanen,pemanen,man
air,air,air
hujan,hujan,hujan
masyarakat,masyarakat,ara
belajar,belajar,aja
konservasi,konservasi,asi
air,air,air
saluran,salur,alu
resmi,resmi,es
anak,anak,ana
muda,muda,mu
terlibat,terlibat,iba
kebijakan,kebija,ebi
aksi,aksi,aksi
lingkungan,lingkung,kung
minim,minim,ini
forum,forum,forum
formal,formal,forma
inklusif,inklusif,inklusif
sesuai,sesuai,es
gaya,gaya,gaya
komunikasi,komunikasi,asi
akibatnya,akibat,aki
muncul,muncul,mu
frustrasi,frustrasi,asi
dipercaya,percaya,per
apatis,apatis,apa
suara,suara,ara
didengar,dengar,den
berdampak,berdampak,dam
peran,peran,era
kampus,kampus,ampu
medsos,medsos,medsos
salah,salah,ala
kelompok,kelompok,elo
resah,resah,es
krisis,krisis,isi
iklim,iklim,iklim
anak,anak,ana
muda,muda,mu
kebanyakan,kebanya,ban
kampus,kampus,ampu
media,media,dia
sosial,sosial,sia
medsos,medsos,medsos
medium,medium,medium
strategis,strategis,rat
memengaruhi,memengaruh,aru
pola,pola,pol
pikir,pikir,kir
perilaku,perilaku,aku
anak,anak,ana
muda,muda,mu
kampus,kampus,ampu
mengintegrasikan,mengintegrasi,asi
program,program,gram
isu,isu,isu
lingkungan,lingkung,kung
mata,mata,mat
kuliah,kuliah,kuli
studi,studi,studi
proyek,proyek,oyek
kolaborasi,kolaborasi,asi
mitra,mitra,mi
edukasi,edukasi,asi
kampanye,kampanye,kam
peduli,peduli,duli
lingkungan,lingkung,kung
pendekatan,pendekat,dek
lakukan,laku,aku
mengajar,mengajar,aja
universitas,universitas,sit
gadjah,gadjah,jah
mada,mada,ada
ugm,ugm,ugm
menyelaraskan,menyelaras,ara
praktikum,praktikum,praktik
teknik,teknik,nik
lingkungan,lingkung,kung
identifikasi,identifikasi,asi
sumber,sumber,sum
pencemaran,pencemar,cema
analisis,analisis,ali
perencanaan,rencana,ana
saluran,salur,alu
sungai,sungai,gai
program,program,gram
kegiatan,giat,giat
mahasiswa,mahasiswa,asi
aksi,aksi,aksi
bersih,bersih,bersih
sungai,sungai,gai
mahasiswa,mahasiswa,asi
belajar,belajar,aja
berkontribusi,berkontribus,berko
nyata,nyata,nyata
lingkungan,lingkung,kung
kampus,kampus,ampu
berkolaborasi,berkolaboras,berko
mitra,mitra,mi
mengampanyekan,mengampanye,gam
program,program,gram
program,program,gram
pro,pro,pro
lingkungan,lingkung,kung
pengurangan,pengurang,pen
penggunaan,pengguna,gun
plastik,plastik,las
pakai,pakai,pakai
kantin,kantin,anti
kampus,kampus,ampu
fakultas,fakultas,aku
ilmu,ilmu,ilmu
sosial,sosial,sia
ilmu,ilmu,ilmu
politik,politik,itik
universitas,universitas,sit
indonesia,indonesia,don
fisip,fisip,fisi
ui,u,u
media,media,dia
sosial,sosial,sia
mendorong,mendorong,dor
perubahan,rubah,bah
menyajikan,menyaji,aji
narasi,narasi,ara
storytelling,storytelling,lin
mendorong,mendorong,dor
perubahan,rubah,bah
sosial,sosial,sia
contoh,contoh,contoh
akun,akun,aku
pegiat,giat,giat
lingkungan,lingkung,kung
berpengaruh,berpengaruh,aru
pandawaragroup,pandawaragroup,anda
aeshnina,aeshnina,es
pandawara,pandawara,anda
menggugah,menggugah,gah
kesadaran,sadar,ada
publik,publik,lik
membersihkan,membersih,bersih
sungai,sungai,gai
kotor,kotor,kotor
nina,nina,ina
mengadvokasi,mengadvokas,kas
perubahan,rubah,bah
pemerintah,pemerin,meri
lokal,lokal,lok
pusat,pusat,pus
tingkat,tingkat,tin
internasional,internasional,asi
berbicara,berbicara,ara
forum,forum,forum
unfcc,unfcc,unfcc
cop26,cop26,cop
2021,2021,2021
global,global,bal
plastic,plastic,las
treaty,treaty,treaty
negotiation,negotiation,ati
2024,2024,2024
pandawara,pandawara,anda
diundang,undang,dan
berdiskusi,berdiskus,diskus
presiden,presiden,den
membahas,membahas,bah
solusi,solusi,lus
sampah,sampah,pah
indonesia,indonesia,don
tindak,tindak,tin
konkret,konkret,konkret
membuktikan,membukti,buk
konsistensi,konsistensi,konsisten
kampanye,kampanye,kam
lingkungan,lingkung,kung
berdampak,berdampak,dam
cemas,cemas,cema
mengubah,mengubah,bah
aksi,aksi,aksi
aksi,aksi,aksi
langkah,langkah,angka
sederhana,sederhana,ana
menyebar,menyebar,bar
konten,konten,konte
konten,konten,konte
aksi,aksi,aksi
lingkungan,lingkung,kung
medsos,medsos,medsos
mengubah,mengubah,bah
perilaku,perilaku,aku
ramah,ramah,ama
lingkungan,lingkung,kung
selamat,selamat,ama
bumi,bumi,bum
aksimu,aksi,aksi
februari,februari,ari
2025,2025,2025
badan,badan,ada
standar,standar,anda
kurikulum,kurikulum,kulum
asesmen,asesmen,es
pendidikan,pendidi,pen
kementerian,menteri,ente
pendidikan,pendidi,pen
dasar,dasar,asa
menengah,menengah,eneng
kemendikdasmen,kemendikdasmen,das
republik,republik,lik
indonesia,indonesia,don
merilis,rilis,ili
naskah,naskah,kah
akademik,akademik,adem
pembelajaran,pembelajar,aja
koding,koding,din
kecerdasan,cerdas,cerdas
artifisial,artifisial,arti
kka,kka,kka
naskah,naskah,kah
acuan,acu,acu
kebijakan,kebija,ebi
rencana,rencana,ana
menjadikan,menjadi,adi
kka,kka,kka
mata,mata,mat
pelajaran,pelajar,aja
pilihan,pilih,ili
sekolah,sekolah,kol
dasar,dasar,asa
sd,sd,sd
sekolah,sekolah,kol
menengah,menengah,eneng
kejuruan,juru,juru
sma,sma,sma
smk,smk,smk
sekolah,sekolah,kol
sekolah,sekolah,kol
dinilai,nila,nila
menyelenggarakan,menyelenggara,ara
kelas,kelas,ela
pemerintah,pemerin,meri
beralasan,beralas,ala
mata,mata,mat
pelajaran,pelajar,aja
meningkatkan,meningkat,meni
daya,daya,daya
saing,saing,ain
sumber,sumber,sum
daya,daya,daya
manusia,manusia,anu
sdm,sdm,sdm
indonesia,indonesia,don
kancah,kancah,anca
global,global,bal
keputusan,putus,putu
kemendikdasmen,kemendikdasmen,das
kebijakan,kebija,ebi
elitis,elitis,elitis
capital,capital,api
driven,driven,driven
memprioritaskan,memprioritas,mem
pemilik,milik,ili
modal,modal,dal
berpihak,berpihak,hak
kepentingan,penting,pen
masyarakat,masyarakat,ara
ketersediaan,ketersedia,dia
sumber,sumber,sum
daya,daya,daya
guru,guru,guru
kompeten,kompeten,kom
mengajarkan,mengajar,aja
kka,kka,kka
infrastruktur,infrastruktur,infrastruktur
teknologi,teknologi,log
merata,rata,rat
wilayah,wilayah,ayah
kehadiran,hadir,adi
mata,mata,mat
pelajaran,pelajar,aja
elite,elite,elite
memperlebar,memperlebar,bar
jurang,jurang,jura
ketimpangan,timpang,pan
pendidikan,pendidi,pen
indonesia,indonesia,don
ketergantungan,ketergantung,antun
sumber,sumber,sum
daya,daya,daya
implementasi,implementasi,asi
mata,mata,mat
pelajaran,pelajar,aja
kka,kka,kka
perangkat,perangkat,angka
komputer,komputer,kom
koneksi,koneksi,eks
internet,internet,intern
stabil,stabil,stabil
memakai,maka,maka
pendekatan,pendekat,dek
unplugged,unplugged,plug
metode,metode,metode
mengajarkan,mengajar,aja
konsep,konsep,konsep
konsep,konsep,konsep
dasar,dasar,asa
komputasi,komputas,kom
permainan,permain,ain
teka,teka,teka
teki,teki,teki
simulasi,simulasi,asi
kegiatan,giat,giat
fisik,fisik,fisi
metode,metode,metode
dirancang,rancang,anca
mengilustrasikan,mengilustrasi,asi
logika,logika,log
algoritma,algoritma,gori
representasi,representasi,asi
data,data,data
konsep,konsep,konsep
komputasi,komputas,kom
menyenangkan,menyenang,nan
interaktif,interaktif,aktif
pendekatan,pendekat,dek
tenaga,tenaga,aga
pengajar,pengajar,aja
kompetensi,kompetensi,kom
